Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,B2_SymmetryFactor_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,W1_Energy_1_P1->P2,P2_Energy_1_P1->P2,B2_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
1.0,200.0,3.424743758576346e-05,-0.0004227867556979232,0.0,0.0,0.0,-2.5160998926312903,-1.0000037416048055,0.0,0.0,0.0,0.0,-0.39954467027292473,1.000007998556712,0.0015099875010222102,0.0,2.5161122275862273,0.0,3.0801643337635115e-06,0.0
1.0,210.0,-6.881145550631877e-05,-0.00041116353650766884,0.0,0.0,0.0,-2.3962906622764444,-0.9999915894157975,0.0,0.0,0.0,0.0,-0.437123585371641,1.0000017265983823,0.004037382403544652,0.0,2.396282764262297,0.0,-6.019062042036632e-06,0.0
1.0,220.0,-2.2935158851092406e-05,-0.00032625714493516943,0.0,0.0,0.0,-2.2873730818821874,-1.0000024645714014,0.0,0.0,0.0,0.0,-0.4748313701786498,1.0000001770637734,0.004180809861255795,0.0,2.287361682575804,0.0,-1.871153206621904e-06,0.0
1.0,230.0,2.5581341068955926e-05,-0.00023621559553375007,0.0,0.0,0.0,-2.187924293775159,-1.0000108649454225,0.0,0.0,0.0,0.0,-0.512357257088228,1.0000006262504733,0.005038096959591368,0.0,2.1879148942531503,0.0,1.9732597198831038e-06,0.0
1.0,240.0,4.4959861278463155e-05,-0.00016283053164255735,0.0,0.0,0.0,-2.0967607756804503,-1.0000123041197253,0.0,0.0,0.0,0.0,-0.5495521709568372,1.0000016524686712,0.0070113119197233505,0.0,2.096754304043307,0.0,2.9568799972424778e-06,0.0
1.0,250.0,3.958313836963981e-05,-0.00010956294699772296,0.0,0.0,0.0,-2.0128889593216472,-1.0000085851450127,0.0,0.0,0.0,0.0,-0.5863853537783471,1.000002596670817,0.009842801455249269,0.0,2.0128847472513587,0.0,1.7734614800891651e-06,0.0
1.0,260.0,2.1171192634931662e-05,-7.352242904791112e-05,0.0,0.0,0.0,-1.9354681487560284,-1.000002494543177,0.0,0.0,0.0,0.0,-0.6228916212465487,1.000003216951389,0.013254502633652392,0.0,1.9354651933603402,0.0,-3.6759978310225735e-07,0.0
1.0,270.0,-4.3011002599737364e-07,-5.036237552613775e-05,0.0,0.0,0.0,-1.8637820457741014,-0.9999961905260402,0.0,0.0,0.0,0.0,-0.6591338134022446,1.0000034817910672,0.01709214351346219,0.0,1.8637794865714812,0.0,-2.549001475615097e-06,0.0
1.0,280.0,-1.913485101395253e-05,-3.6092209123294235e-05,0.0,0.0,0.0,-1.7972165166658802,-0.9999909456390064,0.0,0.0,0.0,0.0,-0.6951808300283324,1.0000034528002704,0.02131489078223467,0.0,1.7972137669590715,0.0,-4.2638633647009075e-06,0.0
1.0,290.0,-3.210304502345036e-05,-2.7593400540597856e-05,0.0,0.0,0.0,-1.7352420048968815,-0.9999873137788143,0.0,0.0,0.0,0.0,-0.7310965592245977,1.0000032218736377,0.025951877333319367,0.0,1.7352387427024198,0.0,-5.326984103942241e-06,0.0
1.0,300.0,-3.869963941088214e-05,-2.2629283506498117e-05,0.0,0.0,0.0,-1.6773994704325834,-0.9999853736816846,0.0,0.0,0.0,0.0,-0.7669353227542625,1.0000028800101088,0.03106363311293565,0.0,1.6773955822485687,0.0,-5.754360315176312e-06,0.0
1.0,310.0,-3.9559802438780406e-05,-1.9688919822963438e-05,0.0,0.0,0.0,-1.623289046838953,-0.9999849355570103,0.0,0.0,0.0,0.0,-0.8027408191696691,1.0000025038146574,0.03671645095290806,0.0,1.6232845643910725,0.0,-5.665222293301138e-06,0.0
1.0,320.0,-3.591367996427954e-05,-1.78037045719937e-05,0.0,0.0,0.0,-1.572560818326634,-0.9999856871358175,0.0,0.0,0.0,0.0,-0.8385467371661842,1.0000021513953792,0.042968230320399536,0.0,1.5725558636426784,0.0,-5.216006367396925e-06,0.0
1.0,330.0,-2.91558696936092e-05,-1.638679887777762e-05,0.0,0.0,0.0,-1.524907267176449,-0.9999872857949786,0.0,0.0,0.0,0.0,-0.8743780257958997,1.000001862900099,0.04986230058398789,0.0,1.5249020102004935,0.0,-4.561300443303979e-06,0.0
1.0,340.0,-2.0600065779947088e-05,-1.5108106757421424e-05,0.0,0.0,0.0,-1.4800570488113185,-0.9999894107348779,0.0,0.0,0.0,0.0,-0.9102523049139951,1.0000016630550128,0.05742607724812926,0.0,1.4800516771273702,0.0,-3.833909497860284e-06,0.0
1.0,350.0,-1.1359046284702156e-05,-1.3803049519178129e-05,0.0,0.0,0.0,-1.437769830264756,-0.9999917883685824,0.0,0.0,0.0,0.0,-0.9461811805299041,1.0000015643065614,0.06567229290875674,0.0,1.4377645288741792,0.0,-3.137127020123172e-06,0.0
1.0,360.0,-2.3028587390086596e-06,-1.2408859059201291e-05,0.0,0.0,0.0,-1.397831986354128,-0.9999942010594051,0.0,0.0,0.0,0.0,-0.9821713788083629,1.0000015698739417,0.07460136144386752,0.0,1.3978269251578594,0.0,-2.5441184534444054e-06,0.0
1.0,370.0,5.938057243003962e-06,-1.0921623932728502e-05,0.0,0.0,0.0,-1.3600529921076536,-0.9999964862887938,0.0,0.0,0.0,0.0,-1.018225685497662,1.0000016764105302,0.0842040354050237,0.0,1.360048318982221,0.0,-2.101005074363705e-06,0.0
1.0,380.0,1.2946676663587468e-05,-9.36827010423556e-06,0.0,0.0,0.0,-1.324262383770094,-0.9999985308923228,0.0,0.0,0.0,0.0,-1.054343709200613,1.000001876180228,0.09446391410797605,0.0,1.3242582215272496,0.0,-1.8315185855216937e-06,0.0
1.0,390.0,1.848368262977364e-05,-7.788937337570553e-06,0.0,0.0,0.0,-1.2903071867323397,-1.000000263238808,0.0,0.0,0.0,0.0,-1.0905224973109284,1.0000021587583194,0.10535960379596992,0.0,1.290303632656678,0.0,-1.7419851171067718e-06,0.0
1.0,400.0,2.2450145247154785e-05,-6.226396923336079e-06,0.0,0.0,0.0,-1.2580497289360189,-1.0000016450326519,0.0,0.0,0.0,0.0,-1.126757033812172,1.0000025123123304,0.11686647091076638,0.0,1.258046855943487,0.0,-1.8259760274412097e-06,0.0
1.0,410.0,2.4852816736550846e-05,-4.720117709644348e-06,0.0,0.0,0.0,-1.2273657741084794,-1.0000026636458923,0.0,0.0,0.0,0.0,-1.163040644410216,1.0000029245334672,0.1289580030482933,0.0,1.2273636328465956,0.0,-2.0683209310568215e-06,0.0
1.0,420.0,2.577399907463277e-05,-3.303316828335648e-06,0.0,0.0,0.0,-1.1981429216268762,-1.000003325405861,0.0,0.0,0.0,0.0,-1.1993653296048503,1.0000033832888162,0.1416068259787819,0.0,1.1981415430489648,0.0,-2.448388364276223e-06,0.0
1.0,430.0,2.534659633591161e-05,-2.0018631525939492e-06,0.0,0.0,0.0,-1.1702792296677516,-1.0000036499791316,0.0,0.0,0.0,0.0,-1.2357220416519887,1.0000038770570638,0.15478543632223427,0.0,1.1702786277694093,0.0,-2.942654438291978e-06,0.0
1.0,440.0,2.3734218632497265e-05,-8.342785797634114e-07,0.0,0.0,0.0,-1.1436820261529388,-1.0000036658329607,0.0,0.0,0.0,0.0,-1.2721009174390234,1.0000043952006352,0.16846670872446312,0.0,1.1436822006710103,0.0,-3.5266361252177424e-06,0.0
1.0,450.0,2.1115831684065563e-05,1.8765577229177364e-07,0.0,0.0,0.0,-1.1182668782951712,-1.0000034066743904,0.0,0.0,0.0,0.0,-1.3084914761993118,1.0000049281171497,0.1826242299997783,0.0,1.1182678172483138,0.0,-4.176287440961225e-06,0.0
1.0,460.0,1.767429615884522e-05,1.0580024053330987e-06,0.0,0.0,0.0,-1.093956696614181,-1.000002908733311,0.0,0.0,0.0,0.0,-1.3448827886557577,1.0000054673040417,0.1972325042815316,0.0,1.0939583786183458,0.0,-4.868958995278156e-06,0.0
1.0,470.0,1.3588118127762642e-05,1.7756729434647248e-06,0.0,0.0,0.0,-1.0706809533951576,-1.0000022087490588,0.0,0.0,0.0,0.0,-1.3812636224739354,1.0000060053624704,0.21226706466493592,0.0,1.070683349723706,0.0,-5.584013597053412e-06,0.0
1.0,480.0,9.025776411626484e-06,2.3434503339754802e-06,0.0,0.0,0.0,-1.0483749988960744,-1.0000013425279162,0.0,0.0,0.0,0.0,-1.417622567681285,1.000006535960317,0.22770451906161426,0.0,1.048378075278006,0.0,-6.303178451388907e-06,0.0
1.0,490.0,4.142068025021239e-06,2.767090101520452e-06,0.0,0.0,0.0,-1.0269794613342396,-1.0000003439536185,0.0,0.0,0.0,0.0,-1.4539481448460416,1.0000070537690213,0.24352255137361753,0.0,1.026983179498825,0.0,-7.010701171587139e-06,0.0
1.0,500.0,-9.240017928068654e-07,3.054530214829518e-06,0.0,0.0,0.0,-1.0064397189169492,-0.9999992443500788,0.0,0.0,0.0,0.0,-1.4902288982070138,1.000007554385049,0.25969989369494406,0.0,1.0064440379017796,0.0,-7.693364068620732e-06,0.0
1.0,510.0,-6.0501749611282935e-06,3.2152189448414085e-06,0.0,0.0,0.0,-0.9867054340219387,-0.9999980721125847,0.0,0.0,0.0,0.0,-1.5264534755256494,1.0000080342437365,0.2762162809701139,0.0,0.9867103112659454,0.0,-8.340399791048716e-06,0.0
1.0,520.0,-1.1131055466156962e-05,3.2595582232423987e-06,0.0,0.0,0.0,-0.9677301411558488,-0.9999968525393503,0.0,0.0,0.0,0.0,-1.562610696137908,1.0000084905309583,0.2930523962291553,0.0,0.9677355334006629,0.0,-8.943341666982447e-06,0.0
1.0,530.0,-1.6077632035561026e-05,3.1984535235944643e-06,0.0,0.0,0.0,-0.9494708815831028,-0.9999956078090213,0.0,0.0,0.0,0.0,-1.598689608474232,1.000008921096317,0.31018981200872847,0.0,0.9494767456061706,0.0,-9.49583405714849e-06,0.0
1.0,540.0,-2.0816401414741438e-05,3.0429582131944168e-06,0.0,0.0,0.0,-0.9318878785711182,-0.9999943570613444,0.0,0.0,0.0,0.0,-1.6346795381627104,1.0000093243702797,0.32761093170142946,0.0,0.9318941717729528,0.0,-9.993421529487431e-06,0.0
1.0,550.0,-2.5288239547479674e-05,2.8039993504934887e-06,0.0,0.0,0.0,-0.9149442480789262,-0.9999931165478477,0.0,0.0,0.0,0.0,-1.6705701277137897,1.0000096992867489,0.34529893321065025,0.0,0.9149509289452358,0.0,-1.0433330514084005e-05,0.0
1.0,560.0,-2.944713122178713e-05,2.4921721675958046e-06,0.0,0.0,0.0,-0.8986057404557679,-0.9999918998272103,0.0,0.0,0.0,0.0,-1.7063513686914722,1.0000100452118788,0.3632377163104615,0.0,0.8986127689132581,0.0,-1.0814253080436e-05,0.0
1.0,570.0,-3.325883954388411e-05,2.1175914214769045e-06,0.0,0.0,0.0,-0.8828405093389534,-0.999990717986296,0.0,0.0,0.0,0.0,-1.7420136271975046,1.0000103618794733,0.38141185442464604,0.0,0.8828478470215485,0.0,-1.113613939480733e-05,0.0
1.0,580.0,-3.6699573712538043e-05,1.6897890667554143e-06,0.0,0.0,0.0,-0.8676189044662697,-0.9999895798727892,0.0,0.0,0.0,0.0,-1.7775476634260998,1.0000106493329795,0.3998065510716244,0.0,0.8676265149064911,0.0,-1.1400003082873306e-05,0.0
1.0,590.0,-3.975469584712385e-05,1.2176490785220789e-06,0.0,0.0,0.0,-0.8529132855639667,-0.9999884923292822,0.0,0.0,0.0,0.0,-1.8129446459841534,1.000010907873864,0.41840760091463136,0.0,0.8529211343223022,0.0,-1.160774198695846e-05,0.0
1.0,600.0,-4.241749408019846e-05,7.093716065500772e-07,0.0,0.0,0.0,-0.8386978548501796,-0.9999874604216717,0.0,0.0,0.0,0.0,-1.848196161613739,1.0000111380160295,0.43720135516466924,0.0,0.8387059095935077,0.0,-1.1761975538507456e-05,0.0
1.0,610.0,-4.468803891269323e-05,1.7245990067513508e-07,0.0,0.0,0.0,-0.8249485060165088,-0.999986487657034,0.0,0.0,0.0,0.0,-1.883294220898953,1.000011340445839,0.45617469097394325,0.0,0.8249567365550746,0.0,-1.186589905929398e-05,0.0
1.0,620.0,-4.65721322429404e-05,-3.862754235059028e-07,0.0,0.0,0.0,-0.8116426878264883,-0.9999855761878994,0.0,0.0,0.0,0.0,-1.9182312604873903,1.0000115159872862,0.4753149844046416,0.0,0.811651066117501,0.0,-1.1923154674218912e-05,0.0
1.0,630.0,-4.808035294365325e-05,-9.60699221219604e-07,0.0,0.0,0.0,-0.7987592807061696,-0.9999847270011484,0.0,0.0,0.0,0.0,-1.953000142307549,1.0000116655718254,0.49461008654357297,0.0,0.7987677808308528,0.0,-1.1937718096854792e-05,0.0
1.0,640.0,-4.922719890853726e-05,-1.5453253513231871e-06,0.0,0.0,0.0,-0.7862784849052903,-0.9999839400907128,0.0,0.0,0.0,0.0,-1.987594150217181,1.0000117902123937,0.5140483023439115,0.0,0.7862870830251338,0.0,-1.1913800283135822e-05,0.0
1.0,650.0,-5.0030322750855705e-05,-2.1352837811285797e-06,0.0,0.0,0.0,-0.774181718982563,-0.9999832146139528,0.0,0.0,0.0,0.0,-2.0220069844741246,1.0000118909811728,0.5336183718014763,0.0,0.7741903932795838,0.0,-1.1855762797533242e-05,0.0
1.0,660.0,-5.050985651590965e-05,-2.726283538601307e-06,0.0,0.0,0.0,-0.7624515275197942,-0.9999825490320715,0.0,0.0,0.0,0.0,-2.0562327543804533,1.0000119689906635,0.5533094531077993,0.0,0.7624602581248061,0.0,-1.1768045667927986e-05,0.0
1.0,670.0,-5.068781963718194e-05,-3.3145732903811922e-06,0.0,0.0,0.0,-0.7510714971003947,-0.9999819412352491,0.0,0.0,0.0,0.0,-2.090265969412977,1.0000120253776819,0.57311110746102,0.0,0.7510802660125991,0.0,-1.1655106495937697e-05,0.0
1.0,680.0,-5.058760374201021e-05,-3.896900916552927e-06,0.0,0.0,0.0,-0.7400261797013681,-0.9999813886533967,0.0,0.0,0.0,0.0,-2.1241015291180845,1.0000120612899215,0.5930132852552247,0.0,0.7400349707019815,0.0,-1.152136962032829e-05,0.0
1.0,690.0,-5.0233527658127835e-05,-4.47047312167151e-06,0.0,0.0,0.0,-0.7293010227465524,-0.9999808883535467,0.0,0.0,0.0,0.0,-2.157734712016753,1.0000120778747512,0.6130063134072056,0.0,0.7293098213087016,0.0,-1.1371184188607197e-05,0.0
1.0,700.0,-4.965045598060922e-05,-5.032915854175828e-06,0.0,0.0,0.0,-0.7188823051549147,-0.9999804371249582,0.0,0.0,0.0,0.0,-2.191161163736062,1.0000120762699638,0.6330808836154501,0.0,0.7188910983515903,0.0,-1.1208790065790915e-05,0.0
1.0,800.0,-3.6570730307245996e-05,-9.752062199438436e-06,0.0,0.0,0.0,-0.6290211478661485,-0.999977839673449,0.0,0.0,0.0,0.0,-2.513334233439691,1.00001129185331,0.8365039150864951,0.0,0.6290294643133617,0.0,-9.728771765994e-06,0.0
1.0,900.0,-2.4419990189710002e-05,-1.264868015226358e-05,0.0,0.0,0.0,-0.5591294315389095,-0.9999763995337893,0.0,0.0,0.0,0.0,-2.8122734381900427,1.0000097106009238,1.0401797556945567,0.0,0.559137123437072,0.0,-1.0374448654989175e-05,0.0
1.0,1000.0,-2.6058796485351764e-05,-1.4147480739896578e-05,0.0,0.0,0.0,-0.5032160597994005,-0.9999737411555609,0.0,0.0,0.0,0.0,-3.0877220033627353,1.0000079133909006,1.2394068360555988,0.0,0.5032234410259431,0.0,-1.4506075853744253e-05,0.0
1.0,1100.0,-4.653539835221872e-05,-1.4846956918382054e-05,0.0,0.0,0.0,-0.4574685404030061,-0.9999687233441759,0.0,0.0,0.0,0.0,-3.3406438053237144,1.0000062065055968,1.4313477269176336,0.0,0.457476063620295,0.0,-2.2336646214388157e-05,0.0
1.0,1200.0,-8.620128239311735e-05,-1.5217173095312631e-05,0.0,0.0,0.0,-0.41934526588396553,-0.9999610391268589,0.0,0.0,0.0,0.0,-3.5725946727061366,1.000004728812698,1.6144478559079696,0.0,0.41935337690838376,0.0,-3.350675706314146e-05,0.0
1.0,1300.0,-0.00014311413385533332,-1.556306956890985e-05,0.0,0.0,0.0,-0.3870867098481533,-0.9999508313470727,0.0,0.0,0.0,0.0,-3.7853526200387,1.0000035272781704,1.7880009740989784,0.0,0.38709579199207106,0.0,-4.7441089336129574e-05,0.0
1.0,1400.0,-0.00021446327023688986,-1.6058839234182458e-05,0.0,0.0,0.0,-0.35943610266398596,-0.9999384437293185,0.0,0.0,0.0,0.0,-3.9807143946362276,1.00000260196531,1.9518429160214257,0.0,0.3594464626616449,0.0,-6.353267887153547e-05,0.0
1.0,1500.0,-0.00029731494863638176,-1.6789936770470546e-05,0.0,0.0,0.0,-0.33547183661945634,-0.9999242815452858,0.0,0.0,0.0,0.0,-4.160391102870785,1.0000019310774702,2.106143817058491,0.0,0.33548370815124545,0.0,-8.122572304382387e-05,0.0
1.0,1600.0,-0.00038895970987059164,-1.7786372580443367e-05,0.0,0.0,0.0,-0.31450272078110403,-0.9999087411223659,0.0,0.0,0.0,0.0,-4.325960469722546,1.0000014843257514,2.2512705459972153,0.0,0.3145162743382806,0.0,-0.00010004523294999895,0.0
1.0,1700.0,-0.0004870457372018344,-1.9045720829394626e-05,0.0,0.0,0.0,-0.2960002064483894,-0.9998921784009107,0.0,0.0,0.0,0.0,-4.4788504271247485,1.0000012297757228,2.3876972299662746,0.0,0.29601556051173933,0.0,-0.00011960107253660809,0.0
1.0,1800.0,-0.0005896045420985245,-2.054799297754258e-05,0.0,0.0,0.0,-0.27955320548238316,-0.999874898262506,0.0,0.0,0.0,0.0,-4.620339368957206,1.0000011371432789,2.5159479830752702,0.0,0.2795704369438897,0.0,-0.00013958088458669373,0.0
1.0,1900.0,-0.0006950268554782679,-2.2264848146728938e-05,0.0,0.0,0.0,-0.2648371775009531,-0.9998571542228312,0.0,0.0,0.0,0.0,-4.751564730123182,1.0000011791974108,2.6365609170524125,0.0,0.2648563306198304,0.0,-0.00015973913651465277,0.0
1.0,2000.0,-0.0008020189233332281,-2.4165087828568664e-05,0.0,0.0,0.0,-0.25159249157726715,-0.9998391528207993,0.0,0.0,0.0,0.0,-4.873535223762313,1.000001332180832,2.7500660966351287,0.0,0.25161358536258094,0.0,-0.0001798856880880841,0.0
1.0,2100.0,-0.000909554257089109,-2.621779420499513e-05,0.0,0.0,0.0,-0.23960897075122864,-0.9998210597318034,0.0,0.0,0.0,0.0,-4.987144186882215,1.0000015757436487,2.8569725691330614,0.0,0.23963200490602415,0.0,-0.0001998753354486019,0.0
1.0,2200.0,-0.0010168278326106147,-2.8394009755873717e-05,0.0,0.0,0.0,-0.22871465196428298,-0.999803006118977,0.0,0.0,0.0,0.0,-5.093182693382473,1.0000018926559713,2.957761254670145,0.0,0.22873961160436435,0.0,-0.0002195988303020155,0.0
1.0,2300.0,-0.001123215562985349,-3.0667533632875663e-05,0.0,0.0,0.0,-0.2187674783743866,-0.9997850945356845,0.0,0.0,0.0,0.0,-5.192351777566592,1.0000022684394672,3.052881583585156,0.0,0.2187943377411272,0.0,-0.00023897542780414128,0.0
1.0,2400.0,-0.0012282397908760785,-3.301519697649734e-05,0.0,0.0,0.0,-0.20964906871481337,-0.9997674041110527,0.0,0.0,0.0,0.0,-5.285273492990657,1.0000026909890751,3.142750493716028,0.0,0.20967779407914228,0.0,-0.0002579468277773621,0.0
1.0,2500.0,-0.00133154057093308,-3.541684196319856e-05,0.0,0.0,0.0,-0.20125998208566195,-0.9997499949612673,0.0,0.0,0.0,0.0,-5.37250073938739,1.0000031502187996,3.2277528789476473,0.0,0.20129053400961971,0.0,-0.00027647231013643795,0.0
1.0,2600.0,-0.0014328521088271637,-3.7855142249556185e-05,0.0,0.0,0.0,-0.19351607553593328,-0.999732911868793,0.0,0.0,0.0,0.0,-5.454525898762417,1.0000036377455854,3.308242895907578,0.0,0.193548410627646,0.0,-0.0002945248597628777,0.0
1.0,2700.0,-0.001531983605957567,-4.031534778958398e-05,0.0,0.0,0.0,-0.18634567110326197,-0.9997161873124863,0.0,0.0,0.0,0.0,-5.531788373630157,1.0000041466149048,3.3845457438337414,0.0,0.18637974337411164,0.0,-0.00031208809494566453,0.0
1.0,2800.0,-0.0016288037771856267,-4.278500293694505e-05,0.0,0.0,0.0,-0.17968732993581818,-0.9996998439425615,0.0,0.0,0.0,0.0,-5.6046811406779184,1.0000046710665702,3.456959670056675,0.0,0.17972309184598356,0.0,-0.00032915384052311346,0.0
1.0,2900.0,-0.0017232283848041732,-4.525366569308772e-05,0.0,0.0,0.0,-0.17348808695206974,-0.999683896591024,0.0,0.0,0.0,0.0,-5.6735564363434,1.000005206337008,3.5257580442747836,0.0,0.17352549021223967,0.0,-0.00034572021441956933,0.0
1.0,3000.0,-0.0018152102258878913,-4.771264308052368e-05,0.0,0.0,0.0,-0.16770203857485477,-0.9996683538987244,0.0,0.0,0.0,0.0,-5.73873068516481,1.000005748493427,3.5911914046423283,0.0,0.1677410347572897,0.0,-0.00036179012118192535,0.0
